Repository,Language,Files,Blank,Comment,Code
implement-from-scratch/shell-c,Markdown,18,704,0,1804
implement-from-scratch/shell-c,YAML,2,12,0,116
implement-from-scratch/shell-c,make,1,8,7,18
implement-from-scratch/memory-allocator-c,Bourne Again Shell,1,7,5,25
implement-from-scratch/memory-allocator-c,Bourne Shell,4,35,22,150
implement-from-scratch/memory-allocator-c,C,2,279,192,943
implement-from-scratch/memory-allocator-c,C/C++ Header,1,33,57,133
implement-from-scratch/memory-allocator-c,CMake,1,5,5,30
implement-from-scratch/memory-allocator-c,INI,1,5,0,17
implement-from-scratch/memory-allocator-c,Markdown,20,1644,14,5232
implement-from-scratch/memory-allocator-c,YAML,5,64,21,328
implement-from-scratch/memory-allocator-c,make,1,30,25,209
implement-from-scratch/website,CSS,1,31,6,173
implement-from-scratch/website,JSON,3,0,0,9682
implement-from-scratch/website,JavaScript,4,1,9,65
implement-from-scratch/website,Markdown,1,11,0,55
implement-from-scratch/website,TypeScript,28,365,201,2977
implement-from-scratch/.github,Markdown,2,12,0,24
implement-from-scratch/.github,YAML,1,0,0,13
implement-from-scratch/template-repo,Bourne Again Shell,1,7,5,25
implement-from-scratch/template-repo,Bourne Shell,4,35,22,152
implement-from-scratch/template-repo,CMake,1,5,5,30
implement-from-scratch/template-repo,INI,1,5,0,17
implement-from-scratch/template-repo,Markdown,9,66,14,216
implement-from-scratch/template-repo,YAML,8,90,12,499
implement-from-scratch/template-repo,make,1,32,23,133
mohitmishra786/RepoToVideo,Markdown,3,313,0,879
mohitmishra786/RepoToVideo,Python,18,1105,1413,4045
mohitmishra786/RepoToVideo,Text,2,2,0,172
mohitmishra786/build-distributed-systems,CSS,1,19,5,76
mohitmishra786/build-distributed-systems,JSON,3,0,0,7294
mohitmishra786/build-distributed-systems,JavaScript,2,3,2,20
mohitmishra786/build-distributed-systems,Markdown,12,244,0,330
mohitmishra786/build-distributed-systems,SVG,5,0,0,5
mohitmishra786/build-distributed-systems,TypeScript,48,1675,123,10850
mohitmishra786/compiler-craft,CSS,1,13,3,73
mohitmishra786/compiler-craft,JSON,3,0,0,12347
mohitmishra786/compiler-craft,JavaScript,2,3,2,20
mohitmishra786/compiler-craft,Markdown,11,497,0,1417
mohitmishra786/compiler-craft,SVG,5,0,0,5
mohitmishra786/compiler-craft,TypeScript,48,1485,627,7522
implement-from-scratch/malloc-c,Markdown,6,39,0,99
implement-from-scratch/malloc-c,YAML,3,14,0,89
OmdenaAI/omdena-srilanka-tea-quality,Bourne Shell,2,36,24,164
